node_type_id,category,num_cores,memory_gb,dbu_per_hour,local_disk_gb,num_gpus,photon_capable,deprecated
Standard_D128ds_v6,General Purpose,128,512.0,35.84,0,0,True,False
Standard_D12_v2,Memory Optimized (Remote HDD),4,28.0,1,200,0,True,False
Standard_D13_v2,Memory Optimized (Remote HDD),8,56.0,2,400,0,True,False
Standard_D14_v2,Memory Optimized (Remote HDD),16,112.0,4,800,0,True,False
Standard_D15_v2,Memory Optimized (Remote HDD),20,140.0,5,1000,0,True,False
Standard_D16_v3,General Purpose (HDD),16,64.0,3,400,0,True,False
Standard_D16a_v4,General Purpose,16,64.0,3,400,0,True,False
Standard_D16ads_v5,General Purpose,16,64.0,4,600,0,True,False
Standard_D16ads_v6,General Purpose,16,64.0,5.1,0,0,True,False
Standard_D16as_v4,General Purpose,16,64.0,3,128,0,True,False
Standard_D16as_v5,General Purpose,16,64.0,4,0,0,True,False
Standard_D16d_v4,General Purpose,16,64.0,3,600,0,True,False
Standard_D16ds_v4,General Purpose,16,64.0,3,600,0,True,False
Standard_D16ds_v5,General Purpose,16,64.0,4,600,0,True,False
Standard_D16ds_v6,General Purpose,16,64.0,4.48,0,0,True,False
Standard_D16pds_v6,General Purpose,16,64.0,4.68,0,0,True,False
Standard_D16plds_v6,General Purpose,16,32.0,4.68,0,0,False,False
Standard_D16pls_v6,General Purpose,16,32.0,4.68,0,0,False,False
Standard_D16ps_v6,General Purpose,16,64.0,4.68,0,0,True,False
Standard_D16s_v3,General Purpose,16,64.0,3,128,0,True,False
Standard_D16s_v4,General Purpose,16,64.0,3,0,0,True,False
Standard_D16s_v5,General Purpose,16,64.0,4,0,0,True,False
Standard_D2ads_v6,General Purpose,2,8.0,0.64,0,0,True,False
Standard_D2ds_v6,General Purpose,2,8.0,0.56,0,0,True,False
Standard_D32_v3,General Purpose (HDD),32,128.0,6,800,0,True,False
Standard_D32a_v4,General Purpose,32,128.0,6,800,0,True,False
Standard_D32ads_v5,General Purpose,32,128.0,8,1200,0,True,False
Standard_D32ads_v6,General Purpose,32,128.0,10.2,0,0,True,False
Standard_D32as_v4,General Purpose,32,128.0,6,256,0,True,False
Standard_D32as_v5,General Purpose,32,128.0,8,0,0,True,False
Standard_D32d_v4,General Purpose,32,128.0,6,1200,0,True,False
Standard_D32ds_v4,General Purpose,32,128.0,6,1200,0,True,False
Standard_D32ds_v5,General Purpose,32,128.0,8,1200,0,True,False
Standard_D32ds_v6,General Purpose,32,128.0,8.96,0,0,True,False
Standard_D32pds_v6,General Purpose,32,128.0,9.36,0,0,True,False
Standard_D32plds_v6,General Purpose,32,64.0,9.36,0,0,False,False
Standard_D32pls_v6,General Purpose,32,64.0,9.36,0,0,False,False
Standard_D32ps_v6,General Purpose,32,128.0,9.36,0,0,True,False
Standard_D32s_v3,General Purpose,32,128.0,6,256,0,True,False
Standard_D32s_v4,General Purpose,32,128.0,6,0,0,True,False
Standard_D32s_v5,General Purpose,32,128.0,8,0,0,True,False
Standard_D3_v2,General Purpose (HDD),4,14.0,0.75,200,0,True,False
Standard_D48a_v4,General Purpose,48,192.0,9,1200,0,True,False
Standard_D48ads_v5,General Purpose,48,192.0,12,1800,0,True,False
Standard_D48ads_v6,General Purpose,48,192.0,15.3,0,0,True,False
Standard_D48as_v4,General Purpose,48,192.0,9,384,0,True,False
Standard_D48as_v5,General Purpose,48,192.0,12,0,0,True,False
Standard_D48d_v4,General Purpose,48,192.0,9,1800,0,True,False
Standard_D48ds_v4,General Purpose,48,192.0,9,1800,0,True,False
Standard_D48ds_v5,General Purpose,48,192.0,12,1800,0,True,False
Standard_D48ds_v6,General Purpose,48,192.0,13.44,0,0,True,False
Standard_D48pds_v6,General Purpose,48,192.0,14.04,0,0,True,False
Standard_D48plds_v6,General Purpose,48,96.0,14.04,0,0,False,False
Standard_D48pls_v6,General Purpose,48,96.0,14.04,0,0,False,False
Standard_D48ps_v6,General Purpose,48,192.0,14.04,0,0,True,False
Standard_D48s_v4,General Purpose,48,192.0,9,0,0,True,False
Standard_D48s_v5,General Purpose,48,192.0,12,0,0,True,False
Standard_D4_v2,General Purpose (HDD),8,28.0,1.5,400,0,True,False
Standard_D4a_v4,General Purpose,4,16.0,0.75,100,0,True,False
Standard_D4ads_v5,General Purpose,4,16.0,1,150,0,True,False
Standard_D4ads_v6,General Purpose,4,16.0,1.28,0,0,True,False
Standard_D4as_v5,General Purpose,4,16.0,1,0,0,True,False
Standard_D4d_v4,General Purpose,4,16.0,0.75,150,0,True,False
Standard_D4ds_v4,General Purpose,4,16.0,0.75,150,0,True,False
Standard_D4ds_v5,General Purpose,4,16.0,1,150,0,True,False
Standard_D4ds_v6,General Purpose,4,16.0,1.12,0,0,True,False
Standard_D4pds_v6,General Purpose,4,16.0,1.17,0,0,True,False
Standard_D4plds_v6,General Purpose,4,8.0,1.17,0,0,False,False
Standard_D4pls_v6,General Purpose,4,8.0,1.17,0,0,False,False
Standard_D4ps_v6,General Purpose,4,16.0,1.17,0,0,True,False
Standard_D4s_v3,General Purpose,4,16.0,0.75,32,0,True,False
Standard_D4s_v4,General Purpose,4,16.0,0.75,0,0,True,False
Standard_D4s_v5,General Purpose,4,16.0,1,0,0,True,False
Standard_D5_v2,General Purpose (HDD),16,56.0,3,800,0,True,False
Standard_D64_v3,General Purpose (HDD),64,256.0,12,1600,0,True,False
Standard_D64a_v4,General Purpose,64,256.0,12,1600,0,True,False
Standard_D64ads_v5,General Purpose,64,256.0,16,2400,0,True,False
Standard_D64ads_v6,General Purpose,64,256.0,20.4,0,0,True,False
Standard_D64as_v4,General Purpose,64,256.0,12,512,0,True,False
Standard_D64as_v5,General Purpose,64,256.0,16,0,0,True,False
Standard_D64d_v4,General Purpose,64,256.0,12,2400,0,True,False
Standard_D64ds_v4,General Purpose,64,256.0,12,2400,0,True,False
Standard_D64ds_v5,General Purpose,64,256.0,16,2400,0,True,False
Standard_D64ds_v6,General Purpose,64,256.0,17.92,0,0,True,False
Standard_D64pds_v6,General Purpose,64,256.0,18.72,0,0,True,False
Standard_D64plds_v6,General Purpose,64,128.0,18.72,0,0,False,False
Standard_D64pls_v6,General Purpose,64,128.0,18.72,0,0,False,False
Standard_D64ps_v6,General Purpose,64,256.0,18.72,0,0,True,False
Standard_D64s_v3,General Purpose,64,256.0,12,512,0,True,False
Standard_D64s_v4,General Purpose,64,256.0,12,0,0,True,False
Standard_D64s_v5,General Purpose,64,256.0,16,0,0,True,False
Standard_D8_v3,General Purpose (HDD),8,32.0,1.5,200,0,True,False
Standard_D8a_v4,General Purpose,8,32.0,1.5,200,0,True,False
Standard_D8ads_v5,General Purpose,8,32.0,2,300,0,True,False
Standard_D8ads_v6,General Purpose,8,32.0,2.55,0,0,True,False
Standard_D8as_v4,General Purpose,8,32.0,1.5,64,0,True,False
Standard_D8as_v5,General Purpose,8,32.0,2,0,0,True,False
Standard_D8d_v4,General Purpose,8,32.0,1.5,300,0,True,False
Standard_D8ds_v4,General Purpose,8,32.0,1.5,300,0,True,False
Standard_D8ds_v5,General Purpose,8,32.0,2,300,0,True,False
